"DNA no.","Area"
"Bangsa",5.16204662619455
"CD-1171",5.09731305133937
"CD-1175",5.6977664159129
"CD-1187",5.38901991317397
"CD-1188",5.11489206415522
"CD-1201",5.73466777990896
"CD-1213",5.24243567858698
"CD-1233",4.92550414732594
"CD-1234",5.03151257382004
"CD-1235",4.57166674313834
"CD-1237",4.76039583218298
"CD-1242",4.92739078078317
"CD-1244",4.66714999141914
"CD-1245",4.83319657410544
"CD-1246",4.66286916870529
"CD-1248",4.78428658753214
"CD-1249",4.324519035003
"CD-1253",4.49079881282896
"CD-1256",4.74312887395882
"CD-1259",4.18263814344198
"CD-1261",4.09456527168211
"CD-1262",4.33550567817763
"CD-1263",4.79799026826297
"CD-1292",5.56610465944348
"CD-1299",5.15907928445982
"CD-1301",5.23879402890952
"CD-1307",5.12984884963008
"CD-1310",5.25816959702459
"CD-1312",5.46833599277076
"CD-1346",5.7290918951887
"CD-1349",5.06120066346044
"CD-1358",5.3122468553934
"CD-1368",5.47407308487138
"CD-1400",6.03328299162619
"Daepoong",5.17811790660384
"Danbaek",5.12508751476814
"DD-0008",5.67748401299062
"DD-0009",5.1321904038823
"DD-0010",4.91352699047177
"DD-0011",4.97991546548487
"DD-0013",6.06025153492015
"DD-0023",5.66731243422524
"DD-0035",4.97075294031535
"DD-0047",5.20270520236995
"DD-0078",4.68502574642583
"DD-0087",5.03753919001324
"DD-0092",4.85817451639437
"DD-0113",5.39827403053214
"DD-0120",5.47930993989367
"DD-0123",5.55385498481533
"DD-0127",4.80383672680819
"DD-0129",5.17535011528823
"DD-0145",5.43518228550573
"DD-0166",5.50541743991763
"DD-0203",5.18339046585819
"DD-0211",5.38963717723863
"DD-0213",5.25407800294295
"DD-0220",4.66245081722364
"DD-0234",4.67580759737986
"DD-0237",5.72235476549531
"DD-0258",5.43326174308141
"DD-0260",6.22354358584896
"DD-0270",6.23890771986184
"DD-0282",5.35006920237559
"DD-0301",5.16501458755921
"DD-0303",5.60534069398594
"DD-0307",4.63438317294331
"DD-0309",5.0582895189818
"DD-0319",5.86658425138947
"DD-0327",4.95010090552136
"DD-0331",4.25729030985414
"DD-0332",4.30910256443467
"DD-0341",4.74128880548521
"DD-0342",4.59736900365006
"DD-0353",4.72181754954287
"DD-0355",5.59294596750188
"DD-0359",5.42673587656856
"DD-0368",5.73313839351832
"DD-0377",5.47427379070585
"DD-0378",4.7905650067725
"DD-0381",5.36423733439935
"DD-0385",5.2186463626325
"DD-0389",5.36418015810199
"DD-0403",5.54022135330541
"DD-0407",5.58056659209226
"DD-0441",5.02625101288329
"DD-0461",4.6015288391562
"DD-0466",4.91531949850951
"DD-0534",5.4991116637742
"DD-0544",4.96658097085887
"DD-0547",4.39176229577573
"DD-0578",5.49805760174216
"DD-0580",5.3393827342887
"DD-0583",5.5347491424925
"DD-0599",5.04733135241922
"DD-0603",5.89779155668001
"DD-0605",5.42172824003407
"DD-0608",5.44559402877731
"DD-0620",5.78224915404213
"DD-0624",5.40976062551375
"DD-0626",5.8740849803381
"DD-0630",4.61895432382927
"DD-0633",5.82944190476914
"DD-0636",5.56712025669479
"DD-0638",5.30140590034932
"DD-0639",5.4807815992504
"DD-0641",5.71946057394812
"DD-0643",4.40619157671419
"DD-0645",5.699790415198
"DD-0647",5.45299858400618
"DD-0651",5.46449513838417
"DD-0656",5.53931164244773
"DD-0657",5.21103164487024
"DD-0663",5.68566680993986
"DD-0664",5.36739420010151
"DD-0668",4.69283156731311
"DD-0670",5.29248190182155
"DD-0671",5.08681269978509
"DD-0672",5.02741875376917
"DD-0675",5.43373068304729
"DD-0676",5.1934682243263
"DD-0679",5.14665997753965
"DD-0681",5.24029463491329
"DD-0682",5.6449298058708
"DD-0683",4.39685865668191
"DD-0684",5.375267470144
"DD-0686",4.13063577856079
"DD-0688",5.21911262296943
"DD-0690",4.85714653294313
"DD-0691",5.42549841271728
"DD-0694",4.9373727129554
"DD-0695",4.94004587634571
"DD-0697",4.99972085662874
"DD-0699",5.32352441773655
"DD-0700",5.13867833833163
"DD-0701",5.92438556518827
"DD-0702",5.4008267381118
"DD-0703",4.87989520540465
"DD-0704",4.52177634257951
"DD-0706",5.66095295481847
"DD-0707",5.88393201434079
"DD-0710",5.41145057516256
"DD-0715",4.60632224679213
"DD-0718",5.24305609732545
"DD-0719",5.05744260128174
"DD-0721",5.92527665110725
"DD-0725",4.99764603647729
"DD-0734",5.46385647762108
"DD-0739",5.44516257692189
"DD-0742",4.69033646667866
"DD-0744",4.97440441054999
"DD-0747",4.94349972880027
"DD-0755",5.42885356407463
"DD-0760",4.98847416638894
"DD-0763",5.19208947333111
"DD-0766",5.37049907568717
"DD-0791",6.2561899366215
"DD-0811",4.7204073233803
"DD-0840",3.92888746083364
"DD-0842",4.61957374888054
"DD-0851",5.64127682465857
"DD-0853",6.1538312224788
"DD-0870",5.45385858371918
"DD-0873",6.00863740906695
"DD-0879",6.00805563200606
"DD-0880",6.06689596912561
"DD-0893",4.49979539119932
"DD-0894",4.28686634785442
"DD-0897",4.71950036343758
"DD-0898",4.49596295557831
"DD-0900",4.4174065400231
"DD-0906",3.98635437418302
"DD-0914",5.51382813878109
"DD-0915",4.46559763392605
"DD-0931",4.82720159511543
