"DNA no.","Area"
"Bangsa",39.10504
"CD-1171",37.80089
"CD-1175",51.38768
"CD-1187",43.97385
"CD-1188",38.15145
"CD-1201",52.33868
"CD-1213",40.77591
"CD-1233",34.51205
"CD-1234",36.51214
"CD-1235",28.47686
"CD-1237",31.57702
"CD-1242",34.54684
"CD-1244",30.01237
"CD-1245",32.84473
"CD-1246",29.9421
"CD-1248",31.98852
"CD-1249",24.79997
"CD-1253",27.2275
"CD-1256",31.28233
"CD-1259",22.87216
"CD-1261",21.73879
"CD-1262",24.95466
"CD-1263",32.22654
"CD-1292",48.10965
"CD-1299",39.04446
"CD-1301",40.69897
"CD-1307",38.45182
"CD-1310",41.10971
"CD-1312",45.78849
"CD-1346",52.19406
"CD-1349",37.08905
"CD-1358",42.27417
"CD-1368",45.9221
"CD-1400",60.58057
"Daepoong",39.43449
"Danbaek",38.35599
"DD-0008",50.87106
"DD-0009",38.49902
"DD-0010",34.29186
"DD-0011",35.52706
"DD-0013",61.37464
"DD-0023",50.61359
"DD-0035",35.35444
"DD-0047",39.94293
"DD-0078",30.30727
"DD-0087",36.62865
"DD-0092",33.28921
"DD-0113",44.18247
"DD-0120",46.04434
"DD-0123",47.81363
"DD-0127",32.32853
"DD-0129",39.37759
"DD-0145",45.02263
"DD-0166",46.65775
"DD-0203",39.54307
"DD-0211",43.98774
"DD-0213",41.02269
"DD-0220",29.93524
"DD-0234",30.1549
"DD-0237",52.01976
"DD-0258",44.97859
"DD-0260",66.36778
"DD-0270",66.85429
"DD-0282",43.10463
"DD-0301",39.16571
"DD-0303",49.06798
"DD-0307",29.47794
"DD-0309",37.03215
"DD-0319",55.8576
"DD-0327",34.96789
"DD-0331",23.87049
"DD-0332",24.58424
"DD-0341",31.25106
"DD-0342",28.88368
"DD-0353",30.92174
"DD-0355",48.76356
"DD-0359",44.82921
"DD-0368",52.29898
"DD-0377",45.92678
"DD-0378",32.09739
"DD-0381",43.41915306
"DD-0385",40.27545
"DD-0389",43.41788
"DD-0403",47.48593
"DD-0407",48.46107
"DD-0441",36.41067
"DD-0461",28.94997
"DD-0466",34.32474
"DD-0534",46.50898
"DD-0544",35.27607
"DD-0547",25.75924
"DD-0578",46.48415
"DD-0580",42.86864
"DD-0583",47.35492
"DD-0599",36.81861
"DD-0603",56.71791
"DD-0605",44.71486
"DD-0608",45.262
"DD-0620",53.58625
"DD-0624",44.44255
"DD-0626",56.06339
"DD-0630",29.22902
"DD-0633",54.8477
"DD-0636",48.13426
"DD-0638",42.03858
"DD-0639",46.07874
"DD-0641",51.94503
"DD-0643",25.96901
"DD-0645",51.43947
"DD-0647",45.43287
"DD-0651",45.69922
"DD-0656",47.46413
"DD-0657",40.11633
"DD-0663",51.07897
"DD-0664",43.48949
"DD-0668",30.43679
"DD-0670",41.84546
"DD-0671",37.59276
"DD-0672",36.43317
"DD-0675",44.98934
"DD-0676",39.75129
"DD-0679",38.79175
"DD-0681",40.73066
