"ID","FloweringDate"
"Vu_001",48
"Vu_002",38
"Vu_003",39
"Vu_004",38
"Vu_005",62
"Vu_006",38
"Vu_007",47
"Vu_008",45
"Vu_009",37
"Vu_010",40
"Vu_011",39
"Vu_012",37
"Vu_013",58
"Vu_014",37
"Vu_015",37
"Vu_016",50
"Vu_017",45
"Vu_018",41
"Vu_019",45
"Vu_020",41
"Vu_021",42
"Vu_022",41
"Vu_023",43
"Vu_024",46
"Vu_025",46
"Vu_026",53
"Vu_027",47
"Vu_028",45
"Vu_029",47
"Vu_030",54
"Vu_031",59
"Vu_032",44
"Vu_033",36
"Vu_034",34
"Vu_035",44
"Vu_036",51
"Vu_037",43
"Vu_038",40
"Vu_039",44
"Vu_040",37
"Vu_041",37
"Vu_042",58
"Vu_043",75
"Vu_044",43
"Vu_045",62
"Vu_046",43
"Vu_047",57
"Vu_048",37
"Vu_049",36
"Vu_050",44
"Vu_051",49
"Vu_052",52
"Vu_053",41
"Vu_054",52
"Vu_055",42
"Vu_056",41
"Vu_057",57
"Vu_058",44
"Vu_059",50
"Vu_060",43
"Vu_061",48
"Vu_062",48
"Vu_063",37
"Vu_064",46
"Vu_065",46
"Vu_066",54
"Vu_067",46
"Vu_068",42
"Vu_069",46
"Vu_070",37
"Vu_071",53
"Vu_072",48
"Vu_073",40
"Vu_074",41
"Vu_075",42
"Vu_076",47
"Vu_077",42
"Vu_078",60
"Vu_079",37
"Vu_080",43
"Vu_081",41
"Vu_082",70
"Vu_083",40
"Vu_084",42
"Vu_085",47
"Vu_086",48
"Vu_087",48
"Vu_088",40
"Vu_089",37
"Vu_090",47
"Vu_091",62
"Vu_092",41
"Vu_093",42
"Vu_094",42
"Vu_095",45
"Vu_096",44
"Vu_097",37
"Vu_098",70
"Vu_099",42
"Vu_100",36
"Vu_101",43
"Vu_102",45
"Vu_103",41
"Vu_104",20
"Vu_105",21
"Vu_106",43
"Vu_107",57
"Vu_108",41
"Vu_109",41
"Vu_110",54
"Vu_111",41
"Vu_112",22
"Vu_113",22
"Vu_114",22
"Vu_115",27
"Vu_117",23
"Vu_118",25
"Vu_119",20
"Vu_120",41
"Vu_121",40
"Vu_122",40
"Vu_123",NA
"Vu_124",38
"Vu_125",40
"Vu_126",39
"Vu_127",27
"Vu_128",38
"Vu_129",40
"Vu_130",39
"Vu_131",42
"Vu_132",43
"Vu_133",40
"Vu_134",46
"Vu_135",54
"Vu_136",46
"Vu_137",33
"Vu_138",38
"Vu_139",41
"Vu_140",40
"Vu_141",37
"Vu_142",39
"Vu_143",40
"Vu_144",40
"Vu_145",40
"Vu_146",40
"Vu_147",22
"Vu_148",24
"Vu_149",20
"Vu_150",41
"Vu_151",22
"Vu_152",21
"Vu_153",82
"Vu_154",20
"Vu_155",23
"Vu_156",21
"Vu_157",24
"Vu_158",27
"Vu_159",37
"Vu_160",70
"Vu_161",48
"Vu_162",37
"Vu_163",38
"Vu_164",22
"Vu_165",40
"Vu_166",48
"Vu_167",47
"Vu_168",62
"Vu_169",70
"Vu_170",43
"Vu_171",45
"Vu_172",57
"Vu_173",45
"Vu_174",43
"Vu_175",41
"Vu_176",60
"Vu_177",48
"Vu_178",43
"Vu_179",42
"Vu_180",24
"Vu_181",42
"Vu_182",42
"Vu_183",42
"Vu_184",45
"Vu_185",36
"Vu_186",55
"Vu_187",40
"Vu_188",41
"Vu_189",44
"Vu_190",46
"Vu_191",41
"Vu_192",39
"Vu_193",40
"Vu_194",41
"Vu_195",37
"Vu_196",37
"Vu_197",44
"Vu_198",45
"Vu_199",47
"Vu_200",53
"Vu_201",42
"Vu_203",57
"Vu_204",40
"Vu_205",48
"Vu_206",59
"Vu_207",43
"Vu_208",70
"Vu_209",45
"Vu_210",45
"Vu_211",38
"Vu_213",45
"Vu_214",44
"Vu_215",45
"Vu_216",40
"Vu_217",39
"Vu_218",39
"Vu_219",57
"Vu_220",NA
"Vu_221",42
"Vu_222",40
"Vu_223",41
"Vu_224",52
"Vu_225",45
"Vu_226",41
"Vu_227",67
"Vu_228",57
"Vu_230",45
"Vu_231",40
"Vu_233",42
"Vu_234",49
"Vu_235",40
"Vu_236",41
"Vu_237",47
"Vu_238",37
"Vu_239",32
"Vu_240",37
"Vu_241",45
"Vu_242",40
"Vu_243",74
"Vu_244",40
"Vu_245",49
"Vu_246",37
"Vu_247",46
"Vu_248",59
"Vu_249",47
"Vu_250",47
"Vu_251",46
"Vu_252",57
"Vu_253",93
"Vu_254",37
"Vu_255",24
"Vu_256",52
"Vu_257",57
"Vu_259",85
"Vu_260",37
"Vu_261",42
"Vu_262",39
"Vu_263",37
"Vu_264",62
"Vu_265",47
"Vu_266",60
"Vu_267",37
"Vu_268",58
"Vu_269",60
"Vu_270",62
"Vu_271",62
"Vu_272",43
"Vu_273",41
"Vu_274",59
"Vu_275",57
"Vu_276",60
"Vu_277",53
"Vu_278",44
"Vu_279",42
"Vu_280",46
"Vu_281",42
"Vu_282",40
"Vu_283",46
"Vu_284",52
"Vu_285",50
"Vu_286",43
"Vu_287",43
"Vu_289",90
"Vu_290",47
"Vu_291",37
