"ID","missing.sample"
"YT002",367
"YT004",140
"YT005",177
"YT007",183
"YT008",87
"YT009",664
"YT010",238
"YT011",45
"YT012",147
"YT013",20
"YT015",866
"YT018",40
"YT019",198
"YT020",715
"YT021",187
"YT022",621
"YT023",471
"YT024",877
"YT025",511
"YT026",352
"YT027",243
"YT028",70
"YT029",233
"YT030",344
"YT031",72
"YT033",41
"YT034",496
"YT035",499
"YT038",141
"YT040",105
"YT044",78
"YT045",194
"YT048",246
"YT049",108
"YT050",189
"YT051",131
"YT052",97
"YT054",56
"YT055",611
"YT056",226
"YT057",189
"YT058",71
"YT059",244
"YT060",12
"YT061",15
"YT062",286
"YT067",365
"YT068",30
"YT069",112
"YT070",165
"YT071",97
"YT072",73
"YT073",237
"YT074",352
"YT075",367
"YT076",21
"YT077",564
"YT078",197
"YT080",170
"YT081",165
"YT082",37
"YT083",300
"YT084",176
"YT085",92
"YT086",210
"YT087",315
"YT089",1476
"YT090",391
"YT092",308
"YT093",523
"YT094",590
"YT096",377
"YT097",168
"YT100",915
"YT101",49
"YT102",37
"YT103",129
"YT104",1730
"YT105",1341
"YT106",703
"YT107",457
"YT109",1601
"YT110",116
"YT111",434
"YT112",1422
"YT113",48
"YT114",265
"YT115",264
"YT116",1484
"YT118",1212
"YT119",36
"YT121",632
"YT122",141
"YT123",503
"YT124",717
"YT126",787
"YT127",98
"YT129",491
"YT130",1074
"YT131",101
"YT132",49
"YT135",69
"YT136",67
"YT137",294
"YT138",278
"YT140",992
"YT141",369
"YT144",246
"YT145",69
"YT146",269
"YT147",92
"YT150",230
"YT151",34
"YT152",17
"YT156",125
"YT157",2171
"YT158",280
"YT159",79
"YT160",98
"YT161",248
"YT162",33
"YT163",325
"YT166",42
"YT167",119
"YT168",410
"YT169",22
"YT171",185
"YT172",375
"YT173",592
"YT174",421
"YT175",122
"YT176",356
"YT177",374
"YT179",327
"YT181",252
"YT183",93
"YT186",696
"YT187",366
"YT188",244
"YT190",451
"YT191",398
"YT192",423
"YT193",497
"YT195",269
"YT196",313
"YT199",544
"YT201",170
"YT202",1322
"YT204",111
"YT205",146
"YT206",326
"YT207",881
"YT209",407
"YT210",312
"YT211",189
"YT212",195
"YT214",45
