Core SET-V2-FINAL,DNA no.,ÀÚ¿ø¸í,Area,Perim,Width,Height,Tickness,Major,Minor,TicknessM,Angle,Circ,AR,Round,Solidity,Seedweight
cc2-001,DD-0260,°ËÀºÄá,66.36778,31.0463,8.07879,10.4689,9.64213,10.48937,8.04578,9.50255,90.68696,0.86459,1.30517,0.76829,0.98889,47
cc2-002,DD-1066,°æºÏ°æ»ê-1997-54,20.86242,19.17706,3.50682,7.58348,5.13165,7.69504,3.43813,5.00914,92.25351,0.70943,2.24473,0.44703,0.97867,7.9
cc2-003,DD-1141,Àü³²ÇØ³²-1998-16,48.42955,26.56625,6.73502,9.14359,7.96576,9.18845,6.70469,7.78998,91.9106,0.86074,1.37347,0.73175,0.98696,27.6
cc2-004,DD-0703,PI82278,33.67974,22.77366,4.9937,8.42305,6.2351,8.53597,5.00874,6.16744,91.45709,0.81374,1.70878,0.58961,0.98308,15.78
cc2-005,DD-1257,PI 399122,33.9958,22.25402,5.62414,7.79152,6.44596,7.77167,5.55858,6.28721,91.30849,0.86036,1.40076,0.71657,0.98623,18.1
cc2-006,EE-1252,Wu tong shu huang dou,34.79816,23.22225,5.10575,8.68482,5.68734,8.76051,5.04706,5.66835,87.22346,0.8084,1.74243,0.57752,0.98337,13.93
cc2-007,EE-0712,SLS &quot;90-101,45.55477,25.84731,6.3104,9.20496,7.53373,9.20755,6.29239,7.39879,89.31277,0.85549,1.46518,0.685,0.98474,22.99
cc2-008,DD-0461,KLS86083,28.94997,20.69069,4.96487,7.49538,5.98699,7.47049,4.92033,5.9069,90.44178,0.84665,1.5225,0.66073,0.98293,13.73
cc2-009,DD-1396,Tong xu xiao zi huang,35.10912,22.72172,5.51942,8.07832,6.68127,8.13384,5.48536,6.5668,89.02704,0.85235,1.48532,0.67645,0.98368,18.41
cc2-010,DD-0840,PI339736,19.7319,17.72856,3.76233,6.72485,5.24996,6.76911,3.70666,5.15868,92.15485,0.78717,1.83371,0.54886,0.98158,8
cc2-011,DD-0791,KLS88035,67.40504,31.65751,7.63292,11.18167,9.2943,11.23111,7.63385,9.13001,92.60126,0.84399,1.47357,0.68092,0.98882,43.2
cc2-012,CD-1259,È£¼­Äá,22.87216,17.9478,4.83718,6.01643,5.23632,6.0349,4.81124,5.11519,90.44395,0.88922,1.2563,0.79749,0.98184,9.37
cc2-013,DD-1153,Nan zhao cao huang dou,34.82961,22.78411,5.30174,8.27619,5.61186,8.34069,5.30059,5.53158,89.37569,0.8403,1.57463,0.63787,0.98368,14.13
cc2-015,DD-1306,Baekjung #42,43.5391,25.01569,6.33924,8.61995,7.01213,8.68763,6.36013,6.86137,89.5725,0.87108,1.36723,0.73383,0.98593,23.84
cc2-016,EE-0583,PI90763,28.65711,22.25912,4.06778,8.87332,5.703,8.98976,4.05144,5.63666,90.34078,0.72514,2.22997,0.4525,0.98136,12.95
cc2-017,DD-1077,KAS 160-5,39.68666,23.77635,6.30416,8.14494,6.4732,8.07408,6.24534,6.34077,91.59056,0.87954,1.29529,0.77529,0.98446,18.22
cc2-018,DD-0686,PI86490,22.19724,17.94778,4.57616,6.2207,5.54595,6.22316,4.53137,5.40882,93.1087,0.86363,1.37622,0.72904,0.98313,8.7
cc2-019,DD-0700,PI82183,38.63005,23.66276,6.24614,7.93762,7.08575,7.9228,6.20145,6.93076,91.04808,0.86561,1.28108,0.78391,0.98532,19.5
cc2-020,CD-1262,¼ÒÈ²Äá,24.95466,18.8217,5.13251,6.22729,5.626,6.23739,5.07839,5.5185,90.11506,0.88188,1.22962,0.81665,0.98344,9.8
cc2-021,DD-1399,Cai dou,43.73652,26.09911,5.71097,9.77934,6.9213,9.84666,5.64542,6.84612,86.96491,0.80503,1.74878,0.5756,0.98448,21.37
cc2-022,EE-0272,KAS331-13,47.27673,26.35658,6.44711,9.35819,7.44099,9.40334,6.38564,7.35488,94.348,0.85251,1.47463,0.68287,0.98511,25.97
cc2-024,EE-1052,VIR 2977,36.28519,22.9861,5.68962,8.0667,6.42789,8.11724,5.68198,6.29341,92.45566,0.86081,1.4316,0.70339,0.98483,18.64
cc2-025,DD-0715,PI84611,29.02651163,22.12475581,4.272127907,8.621686047,5.924069767,8.768186047,4.203930233,5.762918605,93.54697674,0.742627907,2.092127907,0.480011628,0.983034884,11.4
cc2-026,EE-0211,¸ÞÁÖÄá,41.72506,24.66758,6.50271,8.22721,7.61956,8.23364,6.43916,7.475,91.71455,0.85988,1.28018,0.78412,0.98498,24.4
cc2-027,EE-1238,You huang dou,35.23386,22.58559,5.94955,7.67269,7.04482,7.65784,5.83713,6.90325,93.06183,0.86391,1.31468,0.76447,0.98497,18.2
cc2-028,EE-0206,Èæ»öÀ¯¿ùµÎ,50.48879,27.03565,6.89831,9.3686,7.38848,9.36862,6.83747,7.33702,91.61624,0.86429,1.37302,0.73218,0.98517,26.6
cc2-029,EE-0783,°ËÁ¤Äá-3,28.12916,21.43997,4.27086,8.35403,5.47905,8.40745,4.24751,5.47062,88.4084,0.76587,1.98902,0.50658,0.98093,10.75
cc2-030,EE-0911,KAS361-2,39.29813,23.7418,6.10757,8.19961,7.06626,8.21062,6.08083,6.94472,87.40126,0.8738,1.35215,0.74166,0.98522,21.52
cc2-031,DD-1391,Niu mao huang,32.40453,21.72373,5.40879,7.65616,6.11139,7.6602,5.37155,6.03499,88.85782,0.8598,1.42923,0.70297,0.98302,15.42
cc2-032,CD-1346,¹ÝÃ»µÎ,52.19406,28.13382,6.412,10.22054,8.11498,10.30682,6.42606,8.06908,90.00735,0.82558,1.60888,0.62599,0.98547,32.4
cc2-033,DD-1152,Long zhou dong feng dou,27.4506,19.71116,5.22076,6.68732,6.03759,6.68333,5.21068,5.93151,89.22898,0.88331,1.28891,0.78026,0.98324,13.13
cc2-034,EE-1248,Ryumuo,47.28065,26.00802,6.79845,8.87301,7.63129,8.87489,6.77414,7.53942,89.53883,0.8767,1.31146,0.76544,0.98633,26.9
cc2-035,DD-1404,Mote,31.27396,21.99571,4.84268,8.29205,6.41675,8.28429,4.80234,6.25941,90.26203,0.81084,1.73037,0.58111,0.98325,14.93
cc2-036,KwangkyoV2,KwangkyoV2,44.31004,25.24793,6.48712,8.67663,7.91998,8.70179,6.46852,7.75209,88.60335,0.87085,1.34711,0.74596,0.98551,25.96
